id,chain_used_miles,cassette_used_miles,front_fork_used_miles,rear_shock_used_miles,chain_ring_used_miles,bottom_bracket_used_miles,sealant_used_hours,brake_bleed_date,brake_pads_used_miles,brake_rotors_used_miles,tires_used_miles,strava_bike_id,strava_bike_name,total_miles,strava_user_id,dropper_used_miles
11,21,21,5554,5554,21,21,13204,2022-01-13,21,21,21,b5734928,Spark Plus,5554,892461,21
12,2614,3058,3814,3814,3058,3058,27491,2022-01-13,2614,3058,3058,b7452464,Specialized Roubaix,3814,892461,3814
17,0,0,0,0,0,0,0,NULL,0,0,0,111,Jolly Bike,100,999,0
39,1527,1527,484,484,1527,484,5127,2021-12-04,1527,1527,1527,b10084455,Sparky,1544,36778899,1544
90,0,0,0,0,0,0,23419,NULL,0,0,0,b10089506,Ellen,0,32607938,0
172,493,493,493,493,493,493,9952,2023-07-11,493,493,493,b8604913,Spursquatch (TR Spur),4080,11177429,463
174,214,914,14,14,1514,3014,1300,2022-02-28,264,14,2014,b4550956,2017 Scott Speedster Gravel 20 disc,138,14298849,14
175,3491,3491,3491,3491,3491,3491,26251,NULL,3491,3491,3491,b4550951,Scott Spark 900 RC (Teal),6740,14298849,3491
176,54,54,54,54,54,54,1375,NULL,54,54,54,b4550947,Scott Spark 700 RC,559,14298849,559
177,0,0,0,0,0,0,0,NULL,0,0,0,b4550957,Scott Speedster 20,256,14298849,0
178,0,0,0,0,0,0,0,NULL,0,0,0,b4550952,Scott Spark 720 Plus,128,14298849,0
182,12,1098,448,448,1098,1098,0,NULL,448,1098,1098,b8998999,Renai,1098,32790300,1098
190,77,532,862,69,2422,138,0,2022-08-01,92,1882,1042,b8722228,Sandy,247,32790300,69
192,750,560,0,0,1680,2240,0,2025-03-03,255,255,4207,b10482015,Allez,128,32790300,0
210,9096,9096,9096,9096,9096,9096,26082,NULL,9096,9096,9096,b10629518,Plus,9096,13839777,9096
211,0,0,0,0,0,0,0,NULL,0,0,0,b10629520,Sl ,0,13839777,0
214,0,0,0,0,0,0,844,2023-03-03,0,0,0,b10439181,chanes chane,481,43375314,0
215,314,314,314,314,314,314,5635,NULL,314,314,314,b10438086,Tessa,314,36778899,314
216,471,471,471,579,471,471,16417,2022-08-12,729,579,639,b10337705,Yeti ,655,95095503,655
218,253,253,253,253,253,253,21446,NULL,253,253,253,b10684118,Heckler,253,97309547,253
239,221,221,221,221,221,221,8541,NULL,221,221,221,b10993652,Chonker,221,11177429,221
257,1893,1893,1893,1893,1893,1893,14380,NULL,1893,1893,1893,b11068931,mtb,1893,89554518,1893
267,480,480,818,818,440,818,11344,2022-07-14,818,818,818,b11169479,Genius ,818,91084926,818
269,1082,791,791,2105,2105,2105,13874,2023-07-06,2105,1420,2105,b11201100,Mega Sled ,2105,21956011,2105
271,1421,1421,57,0,1421,1421,15314,2022-10-01,110,1128,1421,b11340096,My ride ,1421,103883118,110
273,0,0,0,0,0,0,0,NULL,0,0,0,b11164107,Buckin Bronco,0,95938847,0
274,164,164,164,164,164,164,14712,NULL,164,164,164,b10445201,Santa Cruz Blur,297,63141495,297
275,188,188,188,188,188,188,14879,NULL,188,188,188,b9715469,Specialized Enduro,432,63141495,432
276,110,110,110,110,110,110,840,NULL,110,110,110,b11069440,road,110,89554518,110
277,330,950,950,950,950,950,11828,NULL,950,950,950,b11623695,Mega,950,40573190,950
278,25,25,25,25,25,25,17763,NULL,25,25,25,b9368379,Default Zero,25,18365979,25
279,2590,2590,2590,2590,2590,2590,17763,NULL,2590,2590,2590,b6381527,Giant SCR 1: 1st road bike,10462,18365979,10462
280,9176,9176,9176,9176,9176,9176,16846,NULL,9176,9176,9176,b4071116,Jamis Trail X4: 1st mountain bike,26000,18365979,26000
281,120,120,120,120,120,120,1150,NULL,120,120,120,b11555973,Roo ,120,36778899,120
283,182,182,182,182,182,182,1351,NULL,182,182,182,b12790506,SB 115,182,95095503,182
284,290,290,290,290,290,290,8352,NULL,290,290,290,b13174897,SB 120,290,95095503,290
285,332,332,332,332,332,332,13367,NULL,332,332,332,b13216165,Landonâ€™s blur,332,95095503,332
287,103,103,103,103,103,103,2724,NULL,103,103,103,b14038051,Allez ,103,892461,103
288,545,1586,0,0,545,3841,3275,NULL,545,3841,3841,b13825986,Van Dessel,4521,182209,0
289,629,629,629,629,629,629,2529,NULL,629,629,629,b13494756,TR Relay,629,11177429,629
290,302,302,302,302,302,302,3193,NULL,45,302,302,b15194529,SuperCal,302,892461,302
297,9362,9362,9362,9362,9362,9362,429,NULL,9362,9362,9362,b9172296,Santa Cruz Blur,9362,892461,9362
320,555,555,555,555,555,555,0,2025-03-03,555,555,555,b10575939,Stumpy,155,100477881,555
321,0,0,0,0,0,0,0,NULL,0,0,0,b4680532,Carbine,1368,23159976,0
322,0,0,0,0,0,0,0,NULL,0,0,0,b13116942,Turbo Levo,141,23159976,0
323,0,0,0,0,0,0,0,NULL,0,0,0,b8918764,Sniper,381,23159976,0